Restart? - 0
Model:	2dxyz
Jx:	0.225
Jy:	0.425
Jz:	0.25
Field:	0.05
Theta:	0
Dissipation:	1
N_sites (col x row):	9    (3 x 3 )
Reference:	
000
000
000

000
000
000

---------------------------


Number of iteration:	40000
Target walker number:	25000
Initial energy shift:	-4
Time step:	0.001
Random seed:	12345
Population control damping:	0.1
Importance sampling:	0.606531
Initiator:	10
Starting time:	Mon Jan 15 16:00:27 2018

---------------------------
Time 	 State number 	 Real Mx 	 Imag Mx 	 Real My 	 Imag My 	 Real Mz 	 Imag Mz 	 Div real 	 Div imag 	 Diag_det_nb 	 Det_nbr
--------------------------------------------
0	1	0	0	0	0	-151	0	151	0	1	1
1	3	0	0	0	0	-152	0	152	0	1	3
2	4	0	0.183191	0.183191	0	-152	0	152	0	1	4
3	4	0	0.183191	0.183191	0	-153	0	153	0	1	4
4	6	0	0.183191	0.183191	0	-154	0	154	0	1	6
5	7	0	0.183191	0.183191	0	-154	0	154	0	1	7
6	8	0	0.183191	0.183191	0	-155	0	155	0	1	8
7	8	0	0.183191	0.183191	0	-155	0	155	0	1	8
8	8	0	0.183191	0.183191	0	-156	0	156	0	1	8
9	9	0	0.183191	0.183191	0	-157	0	157	0	1	9
10	10	0	0.183191	0.183191	0	-157	0	157	0	1	10
11	10	0	0.183191	0.183191	0	-158	0	158	0	1	10
12	10	0	0.183191	0.183191	0	-159	0	159	0	1	10
13	10	0	0.183191	0.183191	0	-160	0	160	0	1	10
14	11	0	0.183191	0.183191	0	-161	0	161	0	1	11
15	11	0	0.183191	0.183191	0	-161	0	161	0	1	11
16	11	0	0.183191	0.183191	0	-161	0	161	0	1	11
17	11	0	0.183191	0.183191	0	-162	0	162	0	1	11
18	11	0	0.183191	0.183191	0	-162	0	162	0	1	11
19	11	0	0.183191	0.183191	0	-162	0	162	0	1	11
20	12	0	0.183191	0.183191	0	-162	0	162	0	1	12
21	12	0	0.183191	0.183191	0	-162	0	162	0	1	12
22	12	0	0.183191	0.183191	0	-162	0	162	0	1	12
23	12	0	0.183191	0.183191	0	-163	0	163	0	1	12
24	13	0	0.183191	0.183191	0	-164	0	164	0	1	13
25	13	0	0.183191	0.183191	0	-164	0	164	0	1	13
26	13	0	0.183191	0.183191	0	-164	0	164	0	1	13
27	14	0	0.183191	0.183191	0	-164	0	164	0	1	14
28	15	0	0	0.366383	0	-164	0	164	0	1	15
29	16	0	0	0.366383	0	-164	0	164	0	1	16
30	16	0	0	0.366383	0	-165	0	165	0	1	16
31	16	0	0	0.366383	0	-165	0	165	0	1	16
32	17	0	0	0.366383	0	-165	0	165	0	1	17
33	18	0	0	0.366383	0	-166	0	166	0	1	18
34	18	0	0	0.366383	0	-166	0	166	0	1	18
35	18	0	0	0.366383	0	-167	0	167	0	1	18
36	19	0	0	0.366383	0	-167	0	167	0	1	19
37	19	0	0	0.366383	0	-168	0	168	0	1	19
38	19	0	0	0.366383	0	-169	0	169	0	1	19
39	19	0	0	0.366383	0	-170	0	170	0	1	19
40	19	0	0	0.366383	0	-173	0	173	0	1	19
41	20	0	0	0.366383	0	-173	0	173	0	1	20
42	22	0	0	0.366383	0	-174	0	174	0	1	22
43	24	0	0	0.366383	0	-174	0	174	0	1	24
44	24	0	0	0.366383	0	-175	0	175	0	1	24
45	24	0	0	0.366383	0	-175	0	175	0	1	24
46	25	0	0	0.366383	0	-175	0	175	0	1	25
47	25	0	0	0.366383	0	-175	0	175	0	1	25
48	25	0	0	0.366383	0	-175	0	175	0	1	25
49	25	0	0	0.366383	0	-177	0	177	0	1	25
50	25	0	0	0.366383	0	-178	0	178	0	1	25
51	25	0	0	0.366383	0	-179	0	179	0	1	25
